City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Dawlatabad,AF,2020-02-23 01:01:56,36.41,64.91,46.92,73,38,3.33
253,Lamu,KE,2020-02-23 01:01:56,-2.27,40.9,81.88,81,67,17.49
254,Lavrentiya,RU,2020-02-23 00:52:22,65.58,-171.0,-13.79,94,41,5.57
255,Bismarck,US,2020-02-23 01:01:56,46.81,-100.78,44.6,48,1,6.93
256,Acarau,BR,2020-02-23 01:01:57,-2.89,-40.12,73.78,96,100,1.74
257,Panama City,PA,2020-02-23 00:57:26,8.99,-79.52,82.0,69,20,13.87
258,Westport,US,2020-02-23 01:01:57,41.14,-73.36,45.0,38,1,4.7
259,Caravelas,BR,2020-02-23 01:01:57,-17.71,-39.25,81.45,83,88,18.41
260,Luderitz,NA,2020-02-23 00:52:30,-26.65,15.16,64.4,82,30,13.87
261,Tabora,TZ,2020-02-23 01:01:58,-5.02,32.8,65.75,95,100,2.42
262,Cocu,RO,2020-02-23 01:01:58,44.87,24.65,33.78,73,54,1.43
263,Tudela,ES,2020-02-23 01:01:58,42.06,-1.6,42.8,80,0,7.02
264,East London,ZA,2020-02-23 01:01:58,-33.02,27.91,69.89,64,100,19.66
265,Quesnel,CA,2020-02-23 01:00:23,53.0,-122.5,41.0,30,1,6.93
266,Karaidel,RU,2020-02-23 01:01:59,55.83,56.91,28.56,97,100,6.35
267,Warrnambool,AU,2020-02-23 01:01:59,-38.38,142.48,71.01,72,0,1.81
268,Totonicapan,GT,2020-02-23 01:01:59,14.92,-91.37,86.0,62,20,6.93
269,Tara,RU,2020-02-23 01:02:00,56.89,74.37,7.56,97,94,4.43
270,Nouadhibou,MR,2020-02-23 01:02:00,20.93,-17.03,62.6,82,72,13.87
271,Myitkyina,MM,2020-02-23 01:01:42,25.38,97.4,58.62,60,41,3.56
272,Sinnamary,GF,2020-02-23 01:01:04,5.38,-52.95,79.57,86,92,16.82
273,Egvekinot,RU,2020-02-23 01:02:00,66.32,-179.17,-26.95,98,83,2.82
274,Kungurtug,RU,2020-02-23 01:02:01,50.6,97.52,11.77,96,100,0.78
275,Puerto Escondido,MX,2020-02-23 01:02:01,15.85,-97.07,84.2,83,5,6.93
276,Yinchuan,CN,2020-02-23 01:02:01,38.47,106.27,32.56,53,0,3.85
277,Muroto,JP,2020-02-23 01:00:34,33.28,134.15,48.2,57,20,2.24
278,Saint Anthony,US,2020-02-23 00:53:32,45.02,-93.22,39.2,80,1,4.7
279,Vila Franca Do Campo,PT,2020-02-23 01:02:02,37.72,-25.43,53.6,81,20,3.36
280,Vestmannaeyjar,IS,2020-02-23 00:52:36,63.44,-20.27,35.94,82,67,14.97
281,Sao Raimundo Nonato,BR,2020-02-23 01:02:02,-9.02,-42.7,74.44,84,38,1.19
282,Paranaiba,BR,2020-02-23 01:00:42,-19.68,-51.19,72.63,92,97,4.72
283,High Level,CA,2020-02-23 01:02:02,58.52,-117.14,37.4,37,75,13.87
284,Liling,CN,2020-02-23 01:02:03,27.67,113.5,48.2,100,80,2.39
285,Pietarsaari,FI,2020-02-23 01:00:21,63.67,22.7,34.0,74,90,10.29
286,Hobyo,SO,2020-02-23 00:53:05,5.35,48.53,78.22,66,76,18.66
287,Celestun,MX,2020-02-23 01:02:03,20.87,-90.4,71.46,71,1,20.98
288,The Valley,AI,2020-02-23 00:58:18,18.22,-63.06,78.8,74,20,1.12
289,Gorontalo,ID,2020-02-23 01:02:04,0.54,123.06,79.66,79,93,4.05
