,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
99,Zhangye,CN,2020-02-23 21:20:51,38.93,100.45,31.23,41,94,2.53,overcast clouds,0.0,0.0
100,San Mateo Del Mar,MX,2020-02-23 21:25:46,16.2,-95.0,81.9,67,0,23.78,clear sky,0.0,0.0
101,Port Victoria,KE,2020-02-23 21:25:47,0.09,33.98,75.42,78,100,17.43,light rain,1.06,0.0
102,Pringsewu,ID,2020-02-23 21:25:47,-5.36,104.97,71.24,96,7,4.45,clear sky,0.0,0.0
103,Upernavik,GL,2020-02-23 21:25:47,72.79,-56.15,-17.82,81,0,7.31,clear sky,0.0,0.0
104,Belaya Gora,RU,2020-02-23 21:25:47,68.53,146.42,-13.63,97,100,3.2,overcast clouds,0.0,0.0
105,Komsomolskiy,UZ,2020-02-23 21:25:47,40.43,71.72,50.0,81,75,6.93,mist,0.0,0.0
106,Bluff,NZ,2020-02-23 21:25:48,-46.6,168.33,60.01,79,66,8.99,broken clouds,0.0,0.0
107,Sakakah,SA,2020-02-23 21:25:48,29.97,40.21,60.8,29,100,8.05,overcast clouds,0.0,0.0
108,Butaritari,KI,2020-02-23 21:25:48,3.07,172.79,84.88,77,76,12.91,moderate rain,6.0,0.0
109,Srandakan,ID,2020-02-23 21:25:48,-7.94,110.25,75.56,83,11,2.68,few clouds,0.0,0.0
110,Bon Accord,CA,2020-02-23 21:25:48,53.83,-113.42,33.8,37,1,2.24,snow,0.0,0.0
111,Busselton,AU,2020-02-23 21:25:49,-33.65,115.33,68.0,47,72,14.25,broken clouds,0.0,0.0
112,Paramonga,PE,2020-02-23 21:25:49,-10.67,-77.83,74.01,81,9,9.44,clear sky,0.0,0.0
113,Goundam,ML,2020-02-23 21:25:49,16.41,-3.67,84.87,8,0,14.76,clear sky,0.0,0.0
114,Parana,AR,2020-02-23 21:25:49,-31.73,-60.52,81.0,45,0,1.01,clear sky,0.0,0.0
115,Arraial Do Cabo,BR,2020-02-23 21:34:04,-22.97,-42.03,77.0,65,75,4.7,broken clouds,0.0,0.0
116,Freeport,US,2020-02-23 21:25:50,40.66,-73.58,55.99,27,1,13.87,clear sky,0.0,0.0
117,Atar,MR,2020-02-23 21:25:50,20.52,-13.05,84.87,16,100,7.43,overcast clouds,0.0,0.0
118,Bereda,ES,2020-02-23 21:25:50,43.27,-7.54,48.0,100,1,3.36,clear sky,0.0,0.0
119,Victoria,HK,2020-02-23 21:24:44,22.29,114.16,68.0,63,20,25.28,few clouds,0.0,0.0
120,Klaksvik,FO,2020-02-23 21:30:03,62.23,-6.59,37.4,55,25,23.04,scattered clouds,0.0,0.0
121,Torbay,CA,2020-02-23 21:25:51,47.67,-52.73,34.0,81,20,13.87,few clouds,0.0,0.0
122,Mys Shmidta,CA,2020-02-23 21:25:51,47.67,-52.73,34.0,81,20,13.87,few clouds,0.0,0.0
123,Kaitangata,NZ,2020-02-23 21:25:51,-46.28,169.85,62.01,66,100,11.01,overcast clouds,0.0,0.0
124,Faanui,PF,2020-02-23 21:25:51,-16.48,-151.75,82.76,72,55,11.88,broken clouds,0.0,0.0
125,Abu Samrah,SY,2020-02-23 21:25:51,35.3,37.18,50.95,71,0,8.97,clear sky,0.0,0.0
126,Hendijan,SY,2020-02-23 21:25:51,35.3,37.18,50.95,71,0,8.97,clear sky,0.0,0.0
127,Meulaboh,ID,2020-02-23 21:25:52,4.14,96.13,81.03,81,5,7.7,clear sky,0.0,0.0
128,Toftir,ID,2020-02-23 21:25:52,4.14,96.13,81.03,81,5,7.7,clear sky,0.0,0.0
129,Castro,BR,2020-02-23 21:34:07,-24.79,-50.01,67.93,78,90,2.66,overcast clouds,0.0,0.0
130,Sao Miguel Do Oeste,BR,2020-02-23 21:34:07,-24.79,-50.01,67.93,78,90,2.66,overcast clouds,0.0,0.0
131,Thompson,CA,2020-02-23 21:23:42,55.74,-97.86,17.6,67,90,6.93,overcast clouds,0.0,0.0
132,Samusu,CA,2020-02-23 21:23:42,55.74,-97.86,17.6,67,90,6.93,overcast clouds,0.0,0.0
133,Flin Flon,CA,2020-02-23 21:25:53,54.77,-101.86,35.6,59,40,8.05,scattered clouds,0.0,0.0
134,Oranjestad,AW,2020-02-23 21:23:54,12.52,-70.03,84.2,58,40,12.75,scattered clouds,0.0,0.0
135,Arman,RU,2020-02-23 21:25:53,59.7,150.17,-2.31,98,38,4.09,scattered clouds,0.0,0.0
136,Montpellier,FR,2020-02-23 21:25:54,43.61,3.88,60.8,58,0,4.7,clear sky,0.0,0.0
137,Egvekinot,RU,2020-02-23 21:25:54,66.32,-179.17,-29.07,88,0,1.74,clear sky,0.0,0.0
138,Araguatins,RU,2020-02-23 21:25:54,66.32,-179.17,-29.07,88,0,1.74,clear sky,0.0,0.0
139,Beaver Dam,US,2020-02-23 21:25:54,43.46,-88.84,50.0,49,1,10.29,clear sky,0.0,0.0
140,Altay,CN,2020-02-23 21:25:54,47.87,88.12,7.88,78,50,4.32,scattered clouds,0.0,0.0
141,North Platte,US,2020-02-23 21:25:55,41.12,-100.77,53.6,27,90,17.22,overcast clouds,0.0,0.0
142,Aklavik,CA,2020-02-23 21:34:09,68.22,-135.01,-2.2,70,75,5.82,light snow,0.0,0.0
143,Saint-Philippe,RE,2020-02-23 21:25:55,-21.36,55.77,75.2,78,0,5.82,clear sky,0.0,0.0
144,Flinders,AU,2020-02-23 21:25:55,-34.58,150.86,72.0,68,0,6.93,clear sky,0.0,0.0
145,Karratha,AU,2020-02-23 21:25:55,-20.74,116.85,81.48,74,11,16.73,few clouds,0.0,0.0
146,Rocha,UY,2020-02-23 21:25:56,-34.48,-54.33,78.1,41,0,7.94,clear sky,0.0,0.0
